Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
450 TL,1,40 Yaşında,115 m2,3. Kat,,Eşyalı Değil,"
1,550 TL
",Merkezi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,,,,Kiralık,5934-2971,"Güney, ",,,,,
,2,9 Yaşında,150 m2,Yüksek Giriş,,Eşyalı,"
2,500 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,4581-6104,,,,,,
,1,20 Yaşında,140 m2,2. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,10 Katlı,Daire,,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22700,Güney,,,,,
,1,Sıfır Bina,95 m2,Giriş Katı,,Eşyalı,"
1,750 TL
",Kombi,7 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,111653-702,"Kuzey, ",,,,,
"25,000 TL",1,15 Yaşında,165 m2,Yüksek Giriş,,Eşyalı Değil,"
800 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,86980-651,,Evet (Site Adı Belirtilmemiş),,,,
500 TL,1,25 Yaşında,145 m2,2. Kat,"5,500 TL",Eşyalı,"
3,000 TL
",Merkezi,13 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,111861-157,"Güney, ",mesa,,,,
,1,40 Yaşında,30 m2,Kot 1,700 TL,Eşyalı,"
700 TL
",Kombi,3 Katlı,Daire,Boş,1 + 0,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3436,Doğu,,,,,
130 TL,2,15 Yaşında,190 m2,2. Kat,"2,850 TL",Eşyalı Değil,"
2,850 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,86261-334,"Kuzey, ",,,,,
,1,20 Yaşında,135 m2,3. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22696,Güney,,,,,
120 TL,1,15 Yaşında,130 m2,1. Kat,"5,000 TL",Eşyalı Değil,"
2,950 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10115-1191,"Güney, ",,,,,
30 TL,1,25 Yaşında,130 m2,Kot 1,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,6 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,98193-67,Batı,,,,,
50 TL,1,25 Yaşında,100 m2,10. Kat,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Kombi,12 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1300-5420,"Güney, ",işçi blokları,,,,
170 TL,2,15 Yaşında,160 m2,3. Kat,"2,250 TL",Eşyalı Değil,"
2,250 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1300-5419,"Kuzey, ",,,,,
375 TL,2,15 Yaşında,182 m2,13. Kat,"20,000 TL",Eşyalı,"
8,500 TL
",Merkezi,22 Katlı,Daire,Belirtilmemiş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3920-8587,"Güney, ",Hayatsebla Evleri,,,,
450 TL,1,30 Yaşında,115 m2,13. Kat,,Eşyalı,"
2,200 TL
",Merkezi,15 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,15927-435,"Güney, ",Tusso (Şenyuva) Blok,,,,
870 TL,2,30 Yaşında,165 m2,4. Kat,"6,000 TL",Eşyalı Değil,"
6,000 TL
",Merkezi,10 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2418-1704,"Doğu, ",KENT SİTESİ,,,,
,1,22 Yaşında,105 m2,Yüksek Giriş,850 TL,Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22692,Doğu,,,,,
410 TL,1,40 Yaşında,130 m2,6. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Merkezi,7 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17943-1500,"Doğu, ",,,,,
140 TL,1,20 Yaşında,100 m2,Giriş Katı,"1,850 TL",Eşyalı,"
1,850 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,57374-1302,"Güney, ",,,,,
30 TL,1,25 Yaşında,85 m2,1. Kat,"2,000 TL",Eşyalı,"
1,450 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,43664-1107,"Güney, ",,,,,
50 TL,1,15 Yaşında,145 m2,1. Kat,"1,300 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,19464-3045,"Güney, ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
100 TL,1,3 Yaşında,70 m2,2. Kat,"3,000 TL",Eşyalı,"
2,750 TL
",Kombi,5 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,26985-2484,"Güney, ",,,,,
,1,22 Yaşında,135 m2,3. Kat,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22689,Doğu,,,,,
,1,25 Yaşında,140 m2,1. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,,,Kiralık,70164-637,Güney,,,,,
20 TL,1,15 Yaşında,140 m2,5. Kat,700 TL,Eşyalı Değil,"
700 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8545-1104,"Güney, ",,,,,
130 TL,1,8 Yaşında,95 m2,4. Kat,"2,000 TL",Eşyalı,"
1,200 TL
",Merkezi,10 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,45607-1534,Doğu,Evet (Site Adı Belirtilmemiş),,,,
125 TL,1,30 Yaşında,100 m2,1. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2418-2000,,,,,,
,1,20 Yaşında,100 m2,Kot 1,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3673,Güney,,,,,
1 TL,1,20 Yaşında,100 m2,Bahçe Katı,"2,300 TL",Eşyalı,"
2,300 TL
",Merkezi,3 Katlı,Daire,,2 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,14436-3088,,,,,,
100 TL,1,25 Yaşında,125 m2,1. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,30908-593,"Kuzey, ",,,,,
310 TL,1,28 Yaşında,120 m2,7. Kat,"1,350 TL",Eşyalı Değil,"
1,350 TL
",Merkezi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,38672-2476,"Doğu, ",Evet (Site Adı Belirtilmemiş),,,,
100 TL,2,30 Yaşında,300 m2,3. Kat,"30,000 TL",Eşyalı Değil,"
15,000 TL
",Kombi,3 Katlı,Daire,Ev Sahibi Oturuyor,5 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,119106-15,"Güney, ",,,,,
,1,1 Yaşında,60 m2,2. Kat,"2,100 TL",Eşyalı Değil,"
2,100 TL
",Merkezi (Pay Ölçer),5 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,28888-617,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
1 TL,1,20 Yaşında,100 m2,Bahçe Katı,"2,300 TL",Eşyalı,"
2,300 TL
",Merkezi,3 Katlı,Daire,,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,14436-3086,,,,,,
265 TL,1,25 Yaşında,120 m2,Zemin,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Merkezi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17943-1502,Doğu,,,,,
50 TL,1,30 Yaşında,135 m2,Yüksek Giriş,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17943-1335,Batı,,,,,
,1,45 Yaşında,135 m2,1. Kat,,Eşyalı Değil,"
3,400 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3686,Doğu,,,,,
60 TL,1,30 Yaşında,125 m2,1. Kat,"2,000 TL",Eşyalı Değil,"
1,850 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,57374-666,"Kuzey, ",,,,,
,1,22 Yaşında,135 m2,3. Kat,"1,150 TL",Eşyalı Değil,"
1,150 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22688,"Güney, ",,,,,
700 TL,2,5 Yaşında,125 m2,2. Kat,"16,000 TL",Eşyalı,"
8,750 TL
",Merkezi (Pay Ölçer),11 Katlı,Daire,Ev Sahibi Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,79082-743,Güney,EGE FLORA,,,,
,1,45 Yaşında,100 m2,3. Kat,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3636,Doğu,,,,,
40 TL,1,35 Yaşında,120 m2,3. Kat,"3,000 TL",Eşyalı Değil,"
1,700 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10115-1181,,,,,,
150 TL,1,30 Yaşında,95 m2,Giriş Katı,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1248-1898,,,,,,
,1,22 Yaşında,110 m2,1. Kat,"1,600 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17197-1841,"Kuzey, ",,,,,
364 TL,2,30 Yaşında,145 m2,Kot 1,"2,000 TL",Eşyalı Değil,"
1,750 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,41662-1105,"Güney, ",,,,,
400 TL,1,9 Yaşında,200 m2,Giriş Katı,"6,500 TL",Eşyalı Değil,"
3,250 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6890-6451,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
270 TL,1,33 Yaşında,110 m2,Yüksek Giriş,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,,Betonarme,,Kiralık,5934-2954,"Güney, ",,,,,
,1,40 Yaşında,80 m2,Bahçe Katı,"1,200 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,,,,Kiralık,5934-2968,Güney,,,,,
185 TL,1,20 Yaşında,100 m2,4. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,4 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2751-2419,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
,1,25 Yaşında,75 m2,Yüksek Giriş,"1,200 TL",Eşyalı,"
1,200 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3504,Güney,,,,,
,3,5 Yaşında,180 m2,2. Kat,"17,000 TL",Eşyalı,"
17,000 TL
",Merkezi (Pay Ölçer),8 Katlı,Residence,,3 + 1,Bugün,,,,Kiralık,83743-305,,Ankara Çankaya Sitesi,,,,
35 TL,1,10 Yaşında,95 m2,Giriş Katı,750 TL,Eşyalı Değil,"
750 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,63405-1248,"Güney, ",,,,,
,1,25 Yaşında,110 m2,En Üst Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17197-1895,"Güney, ",,,,,
,1,25 Yaşında,120 m2,1. Kat,"1,000 TL",Eşyalı Değil,"
950 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,28040-1167,"Kuzey, ",,,,,
350 TL,2,25 Yaşında,150 m2,6. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Merkezi,7 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1623-2024,Güney,,,,,
100 TL,1,22 Yaşında,130 m2,4. Kat,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,22551-1077,"Doğu, ",Evet (Site Adı Belirtilmemiş),Uygun,,Kat Mülkiyeti,"1,600 TL"
30 TL,1,9 Yaşında,125 m2,1. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,115718-147,"Kuzey, ",,,,,
50 TL,1,20 Yaşında,125 m2,2. Kat,850 TL,Eşyalı Değil,"
850 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,93678-7281,"Güney, ",,,,,
30 TL,1,15 Yaşında,110 m2,En Üst Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,42826-273,"Güney, ",,,,,
30 TL,1,25 Yaşında,130 m2,1. Kat,"1,350 TL",Eşyalı Değil,"
1,350 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,93678-7280,"Güney, ",,,,,
50 TL,1,30 Yaşında,90 m2,Kot 1,"2,600 TL",Eşyalı,"
1,300 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1248-1897,Doğu,,,,,
50 TL,1,30 Yaşında,110 m2,2. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2418-2001,Güney,,,,,
,2,12 Yaşında,165 m2,3. Kat,"3,100 TL",Eşyalı,"
3,100 TL
",Kombi,5 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,,,Kiralık,1468-9712,"Güney, ",,,,,
124 TL,1,8 Yaşında,94 m2,7. Kat,650 TL,Eşyalı Değil,"
650 TL
",Merkezi (Pay Ölçer),9 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,23862-12355,"Güney, ",2.Etap,,,,
30 TL,1,30 Yaşında,130 m2,Yüksek Giriş,"1,000 TL",Eşyalı Değil,"
900 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17616-721,Batı,,,,,
50 TL,1,30 Yaşında,120 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
2,500 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,1772-390,Güney,,,,,
30 TL,1,9 Yaşında,130 m2,3. Kat,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,115718-144,"Güney, ",,,,,
500 TL,1,30 Yaşında,160 m2,3. Kat,"5,000 TL",Eşyalı,"
3,250 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,32120-2966,"Güney, ",,,,,
,1,35 Yaşında,115 m2,2. Kat,,Eşyalı Değil,"
1,300 TL
",Kombi,2 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,28040-1198,"Güney, ",,,,,
50 TL,1,35 Yaşında,120 m2,1. Kat,"1,650 TL",Eşyalı Değil,"
1,650 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Kagir,,Kiralık,69912-556,"Güney, ",,,,,
30 TL,1,8 Yaşında,140 m2,Kot 1,,Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,119882-864,"Doğu, ",,,,,
10 TL,1,35 Yaşında,125 m2,Kot 1,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1133-3633,Güney,,,,,
100 TL,1,Sıfır Bina,60 m2,2. Kat,"2,600 TL",Eşyalı Değil,"
2,600 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,57374-1275,Batı,,,,,
550 TL,1,16 Yaşında,150 m2,9. Kat,"2,600 TL",Eşyalı,"
2,650 TL
",Merkezi,12 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,57374-831,Batı,,,,,
50 TL,2,20 Yaşında,150 m2,1. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Kombi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,37243-772,"Güney, ",,,,,
70 TL,1,Sıfır Bina,60 m2,2. Kat,"3,000 TL",Eşyalı Değil,"
2,600 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,57374-1267,Batı,,,,,
,1,35 Yaşında,80 m2,Yüksek Giriş,700 TL,Eşyalı Değil,"
700 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,90199-1501,Doğu,,,,,
,2,7 Yaşında,170 m2,Ara Kat,,Eşyalı,"
10,800 TL
",Merkezi (Pay Ölçer),30 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,43014-2293,"Güney, ",park oran ,,,,
40 TL,1,20 Yaşında,110 m2,2. Kat,"1,350 TL",Eşyalı Değil,"
1,350 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,43664-1112,,,,,,
300 TL,1,25 Yaşında,140 m2,Yüksek Giriş,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Merkezi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,21401-955,"Güney, ",,,,,
50 TL,1,25 Yaşında,120 m2,2. Kat,"1,250 TL",Eşyalı,"
1,250 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1623-2026,Güney,,,,,
30 TL,1,10 Yaşında,140 m2,2. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,63405-1165,"Güney, ",,,,,
50 TL,1,15 Yaşında,130 m2,1. Kat,"1,750 TL",Eşyalı Değil,"
1,600 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,22106-432,"Güney, ",,,,,
,1,40 Yaşında,90 m2,3. Kat,,Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,28040-1160,"Güney, ",,,,,
40 TL,1,20 Yaşında,110 m2,3. Kat,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,21401-990,"Kuzey, ",,,,,
,1,30 Yaşında,115 m2,Yüksek Giriş,,Eşyalı Değil,"
1,000 TL
",Kombi,5 Katlı,Daire,,2 + 1,Bugün,,,,Kiralık,90199-1477,,,Uygun,,,
500 TL,1,20 Yaşında,120 m2,4. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,8 Katlı,Daire,,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,14777-4160,Güney,Evet (Site Adı Belirtilmemiş),,,,
"2,000 TL",2,8 Yaşında,210 m2,1. Kat,"30,000 TL",Eşyalı Değil,"
11,500 TL
",Merkezi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,119106-19,,RÖNESANS NEVA KONAKLARI,,,,
,1,40 Yaşında,90 m2,2. Kat,"2,500 TL",Eşyalı Değil,"
1,700 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10115-1185,,,,,,
400 TL,16,40 Yaşında,120 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
1,700 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,70269-771,"Güney, ",,,,,
40 TL,1,40 Yaşında,85 m2,Giriş Katı,"1,500 TL",Eşyalı Değil,"
800 TL
",Soba,4 Katlı,Daire,Boş,2 + 1,Bugün,Kömür-Odun,Betonarme,İkinci El,Kiralık,10115-1182,,,,,,
,4,5 Yaşında,280 m2,21 ve üzeri,,Eşyalı,"
28,000 TL
",Merkezi (Pay Ölçer),30 Katlı,Residence,Boş,5 + 1,Bugün,,,İkinci El,Kiralık,43014-1287,"Güney, ",PARK ORAN KONUTLARI,,,,
,2,Sıfır Bina,204 m2,6. Kat,,Eşyalı Değil,"
3,700 TL
",Merkezi (Pay Ölçer),19 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1740-709,,BAŞKENT EMLAK KONUTLARI,,,,
357 TL,1,18 Yaşında,79 m2,5. Kat,900 TL,Eşyalı Değil,"
900 TL
",Merkezi,5 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18899,"Kuzey, ",Aktürk Sitesi,,,,
200 TL,2,15 Yaşında,204 m2,6. Kat,"5,000 TL",Eşyalı Değil,"
3,900 TL
",Kombi,9 Katlı,Daire,Kiracı Oturuyor,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,91324-3363,"Güney, ",,,,,
350 TL,1,28 Yaşında,105 m2,Kot 3,900 TL,Eşyalı Değil,"
900 TL
",Merkezi,7 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9817,"Doğu, ",,,,,
300 TL,1,1 Yaşında,62 m2,6. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Merkezi (Pay Ölçer),36 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3620-8585,Batı,sinpaş marina,,,,
30 TL,1,25 Yaşında,95 m2,1. Kat,"2,000 TL",Eşyalı,"
1,600 TL
",Kombi,3 Katlı,Daire,Ev Sahibi Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3493-25188,"Güney, ",,,,,
240 TL,2,8 Yaşında,177 m2,5. Kat,"2,350 TL",Eşyalı Değil,"
2,350 TL
",Kombi,7 Katlı,Daire,Boş,4 + 1,Bugün,,,Sıfır,Kiralık,2626-9288,,,,,,
,1,22 Yaşında,130 m2,Yüksek Giriş,950 TL,Eşyalı Değil,"
950 TL
",Soba,9 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,89814-2788,"Güney, ",,,,,
300 TL,1,1 Yaşında,65 m2,7. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Merkezi (Pay Ölçer),39 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3620-8609,Batı,MARİNA ANKARA,,,,
30 TL,1,25 Yaşında,135 m2,Giriş Katı,950 TL,Eşyalı Değil,"
1,000 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9845,"Güney, ",,,,,
30 TL,1,15 Yaşında,110 m2,1. Kat,"2,000 TL",Eşyalı,"
1,700 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5733-6293,"Güney, ",,,,,
,1,4 Yaşında,55 m2,2. Kat,"2,900 TL",Eşyalı Değil,"
3,200 TL
",Merkezi (Pay Ölçer),3 Katlı,Daire,Boş,1 + 1,Bugün,,Betonarme,İkinci El,Kiralık,57374-829,Güney,,,,,
50 TL,2,15 Yaşında,139 m2,Yüksek Giriş,"1,300 TL",Eşyalı Değil,"
1,300 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2263-1114,"Güney, ",,,,,
150 TL,2,18 Yaşında,165 m2,7. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Kombi,7 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,22551-1041,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
40 TL,1,25 Yaşında,95 m2,1. Kat,"1,300 TL",Eşyalı,"
1,300 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,60186-3119,,,,,,
